userId,totalmonth
107,4
797,4
5306,4
6874,4
19190,4
118866,4
132828,4
223623,4
279259,4
328155,4
334206,4
344289,4
350843,4
352037,4
358730,4
379747,4
396133,4
397426,4
404865,4
409252,4
413566,4
419336,4
438993,4
454481,4
454688,4
454833,4
455819,4
500838,4
520508,4
559727,4
575359,4
588066,4
588512,4
620119,4
631475,4
650735,4
669858,4
676530,4
678621,4
759316,4
762446,4
766850,4
802793,4
818110,4
819526,4
821060,4
837176,4
842069,4
849602,4
852023,4
869868,4
882585,4
892991,4
900574,4
939600,4
947381,4
948604,4
988584,4
1001560,4
1039795,4
1050286,4
1064015,4
1093636,4
1157855,4
1212959,4
1214344,4
1230082,4
1232515,4
1239692,4
1250551,4
1256706,4
1263779,4
1268796,4
1269280,4
1299614,4
1311825,4
1323524,4
1333986,4
1335818,4
1342373,4
1362741,4
1369986,4
1404925,4
1405611,4
1448387,4
1460982,4
1473444,4
1477189,4
1482985,4
1523711,4
1533882,4
1541845,4
1547440,4
1554783,4
1559416,4
1563369,4
1595037,4
1598430,4
1601532,4
1605820,4
1642538,4
1655111,4
1685615,4
1720220,4
1755541,4
1759724,4
1796654,4
1847293,4
1874999,4
1882891,4
1896264,4
1910511,4
1926014,4
1933442,4
1936002,4
1948081,4
1973367,4
1980415,4
2017662,4
2030832,4
2048487,4
2058352,4
2078661,4
2079764,4
2114131,4
2126123,4
2141812,4
2155136,4
2181956,4
2188705,4
2230957,4
2243690,4
2257672,4
2259867,4
2266055,4
2273449,4
2279310,4
2292937,4
2296211,4
2325606,4
2355133,4
2369849,4
2381602,4
2392707,4
2399406,4
2420203,4
2434227,4
2434803,4
2436167,4
2445596,4
2450196,4
2450943,4
2471782,4
2525476,4
2555289,4
2569935,4
2609478,4
2668656,4
2751490,4
2761141,4
2764280,4
2783863,4
2790766,4
2853589,4
2856019,4
2860808,4
2878268,4
2878269,4
2907552,4
2911711,4
2930093,4
2933684,4
2957084,4
2981563,4
3010342,4
3013129,4
3017191,4
3018329,4
3024680,4
3048092,4
3067666,4
3070795,4
3080962,4
3093803,4
3099539,4
3108219,4
3133820,4
3199268,4
3223296,4
3233245,4
3251995,4
3272848,4
3285513,4
3321050,4
3353820,4
3353955,4
3405561,4
3415884,4
3428976,4
3445924,4
3449017,4
3449139,4
3459621,4
3478018,4
3523862,4
3524447,4
3530080,4
3541459,4
3555147,4
3558800,4
3572594,4
3573375,4
3573748,4
3577779,4
3582245,4
3594451,4
3604714,4
3619708,4
3629316,4
3631941,4
3665047,4
3739524,4
3742580,4
3744369,4
3748605,4
3784381,4
3815322,4
3841071,4
3847822,4
3863053,4
3880182,4
3894733,4
3918372,4
3929776,4
3945633,4
3958585,4
3969086,4
3978873,4
4004472,4
4008490,4
4014346,4
4036409,4
4122104,4
4134064,4
4177318,4
4201106,4
4238183,4
4239032,4
4306236,4
4334713,4
4385881,4
4439142,4
4460537,4
4466979,4
4501285,4
4538472,4
4552512,4
4560553,4
4565153,4
4585567,4
4598669,4
4606265,4
4639414,4
4680891,4
4692454,4
4697385,4
4775878,4
4783119,4
4828610,4
4860670,4
4871246,4
4876441,4
4904933,4
4905918,4
4916538,4
4997951,4
5010781,4
5079013,4
5101726,4
5109638,4
5110674,4
5119859,4
5145735,4
5162776,4
5214007,4
5219787,4
5285544,4
5291806,4
5311269,4
5325297,4
5436339,4
5455093,4
5473642,4
5476722,4
5483396,4
5484808,4
5488018,4
5496846,4
5541290,4
5547690,4
5548078,4
5560148,4
5578192,4
5579328,4
5617510,4
5639682,4
5655808,4
5685220,4
5703928,4
5706678,4
5720901,4
5738055,4
5764985,4
5811218,4
5823815,4
5824640,4
5834933,4
5843370,4
5843391,4
5858274,4
5910808,4
5935495,4
5942014,4
5953338,4
6005536,4
6026203,4
6035477,4
6042236,4
6045265,4
6063599,4
6093725,4
6099272,4
6117460,4
6132813,4
6155131,4
6191819,4
6197381,4
6200068,4
6225411,4
6245792,4
6303248,4
6356311,4
6374652,4
6385610,4
6411758,4
6413908,4
6432628,4
6432888,4
6480020,4
6532329,4
6578952,4
6579363,4
6585108,4
6602121,4
6620812,4
6629677,4
6674403,4
6677885,4
6686171,4
6712716,4
6782101,4
6783314,4
6784468,4
6792797,4
6810779,4
6813147,4
6834115,4
6947843,4
6972485,4
6983707,4
7009433,4
7020463,4
7021560,4
7037683,4
7041772,4
7061024,4
7088098,4
7187258,4
7214388,4
7214616,4
7217685,4
7250472,4
7324904,4
7354037,4
7367736,4
7371732,4
7397953,4
7405342,4
7429752,4
7434237,4
7435394,4
7435406,4
7440097,4
7443562,4
7508090,4
7520661,4
7578305,4
7588188,4
7640653,4
7700590,4
7745153,4
7839599,4
7872662,4
7878906,4
7895738,4
7895815,4
7934413,4
7977964,4
7996188,4
8051364,4
8065857,4
8107337,4
8155933,4
8175082,4
8214290,4
8247580,4
8299946,4
8346945,4
8347792,4
8408552,4
8425494,4
8427762,4
8435097,4
8459205,4
8484300,4
8485948,4
8553074,4
8555539,4
8598060,4
8603413,4
8645446,4
8647241,4
8650409,4
8652940,4
8655263,4
8679948,4
8688255,4
8712781,4
8722963,4
8732203,4
8782804,4
8792090,4
8792845,4
8818427,4
8850292,4
8881814,4
8902793,4
8941343,4
8956904,4
8978043,4
8983222,4
8996136,4
9115145,4
9138834,4
9151455,4
9180449,4
9206879,4
9219210,4
9242779,4
9269290,4
9273571,4
9302894,4
9329356,4
9330699,4
9347633,4
9350946,4
9403109,4
9434576,4
9455350,4
9458111,4
9468978,4
9487165,4
9618527,4
9654566,4
9661065,4
9696594,4
9734771,4
9760940,4
9761796,4
9768262,4
9773223,4
9810292,4
9813618,4
9842951,4
9844904,4
9848384,4
9849050,4
9872752,4
9889893,4
9919164,4
9936861,4
9983154,4
9984847,4
10041836,4
10053881,4
10083471,4
10090154,4
10095639,4
10098148,4
10129940,4
10131521,4
10135063,4
10155060,4
10158449,4
10168113,4
10189771,4
10192121,4
10193617,4
10199675,4
10242665,4
10267075,4
10272632,4
10303485,4
10316253,4
10317921,4
10353306,4
10363017,4
10435755,4
10447317,4
10449619,4
10454371,4
10480450,4
10521245,4
10544806,4
10569077,4
10610794,4
10686329,4
10736825,4
10737009,4
10763143,4
10763400,4
10790547,4
10805634,4
10821823,4
10831380,4
10847083,4
10861062,4
10862907,4
10867335,4
10881778,4
10896950,4
10905362,4
10918510,4
11011910,4
11017197,4
11040864,4
11109465,4
11133877,4
11232526,4
11271640,4
11323468,4
11358485,4
11362358,4
11376395,4
11398670,4
11424148,4
11430177,4
11440480,4
11501304,4
11552724,4
11572357,4
11632710,4
11641533,4
11668367,4
11701828,4
11702299,4
11712254,4
11787434,4
11811483,4
11836371,4
11868931,4
11928469,4
12035819,4
12085016,4
12121090,4
12169913,4
12176470,4
12215169,4
12260232,4
12278847,4
12316603,4
12384997,4
12392127,4
12407396,4
12408418,4
12428007,4
12448044,4
12492584,4
12529515,4
12580204,4
12583753,4
12592273,4
12594118,4
12604209,4
12609228,4
12612642,4
12652183,4
12744246,4
12815507,4
12842348,4
12842976,4
12850083,4
12866491,4
